size_x,wf_name,inp_size,relation,ratio_old,algorithm,size_y,ratio_new
1000,methylseq_1000.dot,6273818718,internal,1.2812956400678939,MeDiH-BL,1000,1.2812956400678939
200,methylseq_200.dot,17027257018,internal,1.0341267040934687,MeDiH-BL,200,1.0341267040934687
100,methylseq,11897958606,internal,1.0000000001531506,MeDiH-BL,100,1.0000000001531506
100,methylseq,6273818718,internal,1.0000000003948186,MeDiH-BL,100,1.0000000003948186
100,methylseq,22500260922,internal,1.0000000000871296,MeDiH-BL,100,1.0000000000871296
100,methylseq,110641579976,internal,1.00000000000002,MeDiH-BL,100,1.00000000000002
200,atacseq_200.dot,2223941232,internal,2.268907481808477,MeDiH-BL,200,2.268907481808477
200,methylseq_200.dot,8885797810,internal,1.0002506995546,MeDiH-BL,200,1.0002506995546
100,chipseq,32978181418,internal,1.018005928771925,MeDiH-BL,100,1.018005928771925
200,methylseq_200.dot,6761426956,internal,1.0004185917544142,MeDiH-BL,200,1.0004185917544142
100,methylseq,17027257018,internal,1.000000000170914,MeDiH-BL,100,1.000000000170914
200,methylseq_200.dot,11897958606,internal,1.000290838686391,MeDiH-BL,200,1.000290838686391
200,methylseq_200.dot,22500260922,internal,1.0342544990997775,MeDiH-BL,200,1.0342544990997775
100,methylseq,6761426956,internal,1.0000000004213674,MeDiH-BL,100,1.0000000004213674
100,chipseq,41366257414,internal,1.0052891773099355,MeDiH-BL,100,1.0052891773099355
200,methylseq_200.dot,6273818718,internal,1.0002783669782727,MeDiH-BL,200,1.0002783669782727
100,methylseq,8885797810,internal,1.000000000217842,MeDiH-BL,100,1.000000000217842
1000,methylseq_1000.dot,6273818718,dyn_vs_base,0.7804600037092232,MeDiH-BL,1000,0.7804600037092232
200,methylseq_200.dot,17027257018,dyn_vs_base,0.9669994943962068,MeDiH-BL,200,0.9669994943962068
100,methylseq,11897958606,dyn_vs_base,0.9999999998468493,MeDiH-BL,100,0.9999999998468493
100,methylseq,6273818718,dyn_vs_base,0.9999999996051814,MeDiH-BL,100,0.9999999996051814
100,methylseq,22500260922,dyn_vs_base,0.9999999999128703,MeDiH-BL,100,0.9999999999128703
100,methylseq,110641579976,dyn_vs_base,0.9999999999999801,MeDiH-BL,100,0.9999999999999801
200,methylseq_200.dot,8885797810,dyn_vs_base,0.999749363279914,MeDiH-BL,200,0.999749363279914
100,chipseq,32978181418,dyn_vs_base,0.9823125501895196,MeDiH-BL,100,0.9823125501895196
200,methylseq_200.dot,6761426956,dyn_vs_base,0.9995815833913281,MeDiH-BL,200,0.9995815833913281
100,methylseq,17027257018,dyn_vs_base,0.9999999998290859,MeDiH-BL,100,0.9999999998290859
200,methylseq_200.dot,11897958606,dyn_vs_base,0.9997092458761566,MeDiH-BL,200,0.9997092458761566
200,methylseq_200.dot,22500260922,dyn_vs_base,0.9668800095821746,MeDiH-BL,200,0.9668800095821746
100,methylseq,6761426956,dyn_vs_base,0.9999999995786327,MeDiH-BL,100,0.9999999995786327
100,chipseq,41366257414,dyn_vs_base,0.9947386508983527,MeDiH-BL,100,0.9947386508983527
200,methylseq_200.dot,6273818718,dyn_vs_base,0.9997217104883377,MeDiH-BL,200,0.9997217104883377
100,methylseq,8885797810,dyn_vs_base,0.999999999782158,MeDiH-BL,100,0.999999999782158
1000,methylseq_1000.dot,6761426956,dyn_vs_base,1.259024505223002,MeDiH-BL,1000,1.259024505223002
1000,methylseq_1000.dot,6273818718,stat_vs_base,1.0,MeDiH-BL,1000,1.0
200,methylseq_200.dot,17027257018,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,11897958606,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,methylseq,6273818718,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,methylseq,22500260922,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,methylseq,110641579976,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,atacseq_200.dot,14091675276,stat_vs_base,1.0,MeDiH-BL,200,1.0
200,atacseq_200.dot,3908761308,stat_vs_base,1.0,MeDiH-BL,200,1.0
200,methylseq_200.dot,8885797810,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,chipseq,32978181418,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,methylseq_200.dot,6761426956,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,17027257018,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,methylseq_200.dot,11897958606,stat_vs_base,1.0,MeDiH-BL,200,1.0
200,methylseq_200.dot,22500260922,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,6761426956,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,chipseq,41366257414,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,chipseq,5058052541,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,chipseq,4807293396,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,methylseq_200.dot,6273818718,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,8885797810,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,eager_200.dot,8330435694,stat_vs_base,1.0,MeDiH-BL,200,1.0
1000,methylseq_1000.dot,6273818718,internal,1.2812956400678939,MeDiH-BLC,1000,1.2812956400678939
200,methylseq_200.dot,17027257018,internal,1.0342008999262222,MeDiH-BLC,200,1.0342008999262222
100,methylseq,11897958606,internal,1.0000000001531506,MeDiH-BLC,100,1.0000000001531506
100,methylseq,6273818718,internal,1.0000000003948186,MeDiH-BLC,100,1.0000000003948186
100,methylseq,22500260922,internal,1.0000000000871296,MeDiH-BLC,100,1.0000000000871296
100,methylseq,110641579976,internal,1.00000000000002,MeDiH-BLC,100,1.00000000000002
200,methylseq_200.dot,8885797810,internal,1.0002506995546,MeDiH-BLC,200,1.0002506995546
100,chipseq,32978181418,internal,1.0230263773549413,MeDiH-BLC,100,1.0230263773549413
200,methylseq_200.dot,6761426956,internal,1.0004185917544142,MeDiH-BLC,200,1.0004185917544142
100,methylseq,17027257018,internal,1.000000000170914,MeDiH-BLC,100,1.000000000170914
200,methylseq_200.dot,11897958606,internal,1.000290838686391,MeDiH-BLC,200,1.000290838686391
200,methylseq_200.dot,22500260922,internal,1.0342844320067337,MeDiH-BLC,200,1.0342844320067337
100,methylseq,6761426956,internal,1.0000000004213674,MeDiH-BLC,100,1.0000000004213674
100,chipseq,41366257414,internal,1.021800808447356,MeDiH-BLC,100,1.021800808447356
100,chipseq,5058052541,internal,1.0836699794602211,MeDiH-BLC,100,1.0836699794602211
100,chipseq,4807293396,internal,1.0751558585396281,MeDiH-BLC,100,1.0751558585396281
200,methylseq_200.dot,6273818718,internal,1.0002783669782727,MeDiH-BLC,200,1.0002783669782727
100,methylseq,8885797810,internal,1.000000000217842,MeDiH-BLC,100,1.000000000217842
1000,methylseq_1000.dot,6273818718,dyn_vs_base,0.7804600037092232,MeDiH-BLC,1000,0.7804600037092232
200,methylseq_200.dot,17027257018,dyn_vs_base,0.9669994943962068,MeDiH-BLC,200,0.9669994943962068
100,methylseq,11897958606,dyn_vs_base,0.9999999998468493,MeDiH-BLC,100,0.9999999998468493
100,methylseq,6273818718,dyn_vs_base,0.9999999996051814,MeDiH-BLC,100,0.9999999996051814
100,methylseq,22500260922,dyn_vs_base,0.9999999999128703,MeDiH-BLC,100,0.9999999999128703
100,methylseq,110641579976,dyn_vs_base,0.9999999999999801,MeDiH-BLC,100,0.9999999999999801
200,methylseq_200.dot,8885797810,dyn_vs_base,0.999749363279914,MeDiH-BLC,200,0.999749363279914
100,chipseq,32978181418,dyn_vs_base,0.9823125501895196,MeDiH-BLC,100,0.9823125501895196
200,methylseq_200.dot,6761426956,dyn_vs_base,0.9995815833913281,MeDiH-BLC,200,0.9995815833913281
100,methylseq,17027257018,dyn_vs_base,0.9999999998290859,MeDiH-BLC,100,0.9999999998290859
200,methylseq_200.dot,11897958606,dyn_vs_base,0.9997092458761566,MeDiH-BLC,200,0.9997092458761566
200,methylseq_200.dot,22500260922,dyn_vs_base,0.9668800095821746,MeDiH-BLC,200,0.9668800095821746
100,methylseq,6761426956,dyn_vs_base,0.9999999995786327,MeDiH-BLC,100,0.9999999995786327
100,chipseq,41366257414,dyn_vs_base,0.9947386508983527,MeDiH-BLC,100,0.9947386508983527
100,chipseq,5058052541,dyn_vs_base,0.9501620309454146,MeDiH-BLC,100,0.9501620309454146
100,chipseq,4807293396,dyn_vs_base,0.953244121937962,MeDiH-BLC,100,0.953244121937962
200,methylseq_200.dot,6273818718,dyn_vs_base,0.9997217104883377,MeDiH-BLC,200,0.9997217104883377
100,methylseq,8885797810,dyn_vs_base,0.999999999782158,MeDiH-BLC,100,0.999999999782158
1000,methylseq_1000.dot,6761426956,dyn_vs_base,1.259024505223002,MeDiH-BLC,1000,1.259024505223002
1000,methylseq_1000.dot,6273818718,stat_vs_base,1.0,MeDiH-BLC,1000,1.0
200,methylseq_200.dot,17027257018,stat_vs_base,1.000071747332759,MeDiH-BLC,200,1.000071747332759
100,methylseq,11897958606,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,methylseq,6273818718,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,methylseq,22500260922,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,methylseq,110641579976,stat_vs_base,1.0,MeDiH-BLC,100,1.0
200,atacseq_200.dot,14091675276,stat_vs_base,1.0308642780557635,MeDiH-BLC,200,1.0308642780557635
200,atacseq_200.dot,3908761308,stat_vs_base,1.0113163404514889,MeDiH-BLC,200,1.0113163404514889
200,methylseq_200.dot,8885797810,stat_vs_base,1.0,MeDiH-BLC,200,1.0
100,chipseq,32978181418,stat_vs_base,1.0049316496506782,MeDiH-BLC,100,1.0049316496506782
200,methylseq_200.dot,6761426956,stat_vs_base,1.0,MeDiH-BLC,200,1.0
100,methylseq,17027257018,stat_vs_base,1.0,MeDiH-BLC,100,1.0
200,methylseq_200.dot,11897958606,stat_vs_base,1.0,MeDiH-BLC,200,1.0
200,methylseq_200.dot,22500260922,stat_vs_base,1.0000289415293646,MeDiH-BLC,200,1.0000289415293646
100,methylseq,6761426956,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,chipseq,41366257414,stat_vs_base,1.0164247576817689,MeDiH-BLC,100,1.0164247576817689
100,chipseq,5058052541,stat_vs_base,1.0296620685584994,MeDiH-BLC,100,1.0296620685584994
100,chipseq,4807293396,stat_vs_base,1.0248860023200637,MeDiH-BLC,100,1.0248860023200637
200,methylseq_200.dot,6273818718,stat_vs_base,1.0,MeDiH-BLC,200,1.0
100,methylseq,8885797810,stat_vs_base,1.0,MeDiH-BLC,100,1.0
200,eager_200.dot,8330435694,stat_vs_base,1.0,MeDiH-BLC,200,1.0
15000,methylseq_15000.dot,6761426956,internal,0.770713174011068,MeDiH-MM,15000,0.770713174011068
1000,methylseq_1000.dot,110641579976,internal,0.8297116677770541,MeDiH-MM,1000,0.8297116677770541
1000,methylseq_1000.dot,6273818718,internal,0.5451729729652177,MeDiH-MM,1000,0.5451729729652177
200,methylseq_200.dot,17027257018,internal,0.6863587889875529,MeDiH-MM,200,0.6863587889875529
30000,methylseq_30000.dot,110641579976,internal,0.8562897159376087,MeDiH-MM,30000,0.8562897159376087
8000,methylseq_8000.dot,110641579976,internal,0.828381670711855,MeDiH-MM,8000,0.828381670711855
20000,methylseq_20000.dot,6761426956,internal,0.8134945809442329,MeDiH-MM,20000,0.8134945809442329
8000,methylseq_8000.dot,17027257018,internal,1.4203108652544392,MeDiH-MM,8000,1.4203108652544392
10000,methylseq_10000.dot,8885797810,internal,0.6493562557135673,MeDiH-MM,10000,0.6493562557135673
4000,methylseq_4000.dot,6273818718,internal,0.6363735621654695,MeDiH-MM,4000,0.6363735621654695
10000,methylseq_10000.dot,110641579976,internal,0.8301587285264279,MeDiH-MM,10000,0.8301587285264279
2000,methylseq_2000.dot,22500260922,internal,1.150985991558992,MeDiH-MM,2000,1.150985991558992
200,chipseq_200.dot,32978181418,internal,0.9801348649835119,MeDiH-MM,200,0.9801348649835119
30000,methylseq_30000.dot,8885797810,internal,0.7302908253674969,MeDiH-MM,30000,0.7302908253674969
4000,methylseq_4000.dot,17027257018,internal,1.3292822007920821,MeDiH-MM,4000,1.3292822007920821
15000,methylseq_15000.dot,11897958606,internal,0.7718116625401467,MeDiH-MM,15000,0.7718116625401467
1000,methylseq_1000.dot,11897958606,internal,0.6555855190992275,MeDiH-MM,1000,0.6555855190992275
100,methylseq,11897958606,internal,0.9986450880813694,MeDiH-MM,100,0.9986450880813694
15000,methylseq_15000.dot,110641579976,internal,0.8548856780626537,MeDiH-MM,15000,0.8548856780626537
15000,methylseq_15000.dot,17027257018,internal,1.5551417449709464,MeDiH-MM,15000,1.5551417449709464
20000,methylseq_20000.dot,11897958606,internal,0.777954197700493,MeDiH-MM,20000,0.777954197700493
200,eager_200.dot,25705994498,internal,1.1556820465967816,MeDiH-MM,200,1.1556820465967816
200,methylseq_200.dot,110641579976,internal,0.8802490485155218,MeDiH-MM,200,0.8802490485155218
100,methylseq,6273818718,internal,0.9979778694798037,MeDiH-MM,100,0.9979778694798037
4000,methylseq_4000.dot,8885797810,internal,0.5518020306393441,MeDiH-MM,4000,0.5518020306393441
20000,methylseq_20000.dot,110641579976,internal,0.958350348106782,MeDiH-MM,20000,0.958350348106782
8000,methylseq_8000.dot,8885797810,internal,0.6213891519119162,MeDiH-MM,8000,0.6213891519119162
8000,methylseq_8000.dot,6273818718,internal,0.6614718340211183,MeDiH-MM,8000,0.6614718340211183
30000,methylseq_30000.dot,6761426956,internal,0.8447275181438995,MeDiH-MM,30000,0.8447275181438995
10000,methylseq_10000.dot,6273818718,internal,0.6692705955825129,MeDiH-MM,10000,0.6692705955825129
25000,methylseq_25000.dot,6761426956,internal,0.8240714067848982,MeDiH-MM,25000,0.8240714067848982
100,methylseq,22500260922,internal,0.9990984715556176,MeDiH-MM,100,0.9990984715556176
100,methylseq,110641579976,internal,0.9998933411034169,MeDiH-MM,100,0.9998933411034169
4000,methylseq_4000.dot,110641579976,internal,0.8532242499660168,MeDiH-MM,4000,0.8532242499660168
30000,methylseq_30000.dot,11897958606,internal,0.7905992705952002,MeDiH-MM,30000,0.7905992705952002
25000,methylseq_25000.dot,11897958606,internal,0.7903699895931116,MeDiH-MM,25000,0.7903699895931116
30000,methylseq_30000.dot,22500260922,internal,1.5711514525265426,MeDiH-MM,30000,1.5711514525265426
10000,methylseq_10000.dot,11897958606,internal,0.7625966979210185,MeDiH-MM,10000,0.7625966979210185
30000,methylseq_30000.dot,6273818718,internal,0.839022010481951,MeDiH-MM,30000,0.839022010481951
15000,methylseq_15000.dot,6273818718,internal,0.7612353244026545,MeDiH-MM,15000,0.7612353244026545
2000,methylseq_2000.dot,11897958606,internal,0.6458854760150854,MeDiH-MM,2000,0.6458854760150854
25000,methylseq_25000.dot,6273818718,internal,0.8176432282007939,MeDiH-MM,25000,0.8176432282007939
200,methylseq_200.dot,8885797810,internal,0.703868387652541,MeDiH-MM,200,0.703868387652541
100,chipseq,32978181418,internal,0.9870769348990266,MeDiH-MM,100,0.9870769348990266
2000,methylseq_2000.dot,6761426956,internal,0.5035141154421201,MeDiH-MM,2000,0.5035141154421201
2000,methylseq_2000.dot,110641579976,internal,0.859876834855873,MeDiH-MM,2000,0.859876834855873
200,methylseq_200.dot,6761426956,internal,0.7037020249845504,MeDiH-MM,200,0.7037020249845504
100,methylseq,17027257018,internal,0.9984928720514062,MeDiH-MM,100,0.9984928720514062
200,methylseq_200.dot,11897958606,internal,0.703867533163848,MeDiH-MM,200,0.703867533163848
200,methylseq_200.dot,22500260922,internal,0.6874468469065753,MeDiH-MM,200,0.6874468469065753
100,methylseq,6761426956,internal,0.9978896503194553,MeDiH-MM,100,0.9978896503194553
20000,methylseq_20000.dot,8885797810,internal,0.7111633047815752,MeDiH-MM,20000,0.7111633047815752
2000,methylseq_2000.dot,8885797810,internal,0.5373241749349517,MeDiH-MM,2000,0.5373241749349517
100,chipseq,41366257414,internal,0.8875817820808193,MeDiH-MM,100,0.8875817820808193
15000,methylseq_15000.dot,8885797810,internal,0.6990299597090269,MeDiH-MM,15000,0.6990299597090269
30000,methylseq_30000.dot,17027257018,internal,1.6694167292723732,MeDiH-MM,30000,1.6694167292723732
8000,methylseq_8000.dot,11897958606,internal,0.731834268675136,MeDiH-MM,8000,0.731834268675136
100,chipseq,5058052541,internal,0.8494800454434069,MeDiH-MM,100,0.8494800454434069
25000,methylseq_25000.dot,110641579976,internal,0.8282086264534374,MeDiH-MM,25000,0.8282086264534374
8000,methylseq_8000.dot,6761426956,internal,0.6515332238245972,MeDiH-MM,8000,0.6515332238245972
200,eager_200.dot,19075314980,internal,1.4568888839953662,MeDiH-MM,200,1.4568888839953662
100,chipseq,4807293396,internal,0.8664372887380382,MeDiH-MM,100,0.8664372887380382
10000,methylseq_10000.dot,6761426956,internal,0.6890932330497795,MeDiH-MM,10000,0.6890932330497795
1000,methylseq_1000.dot,22500260922,internal,1.002196733047782,MeDiH-MM,1000,1.002196733047782
8000,methylseq_8000.dot,22500260922,internal,1.4562896867356299,MeDiH-MM,8000,1.4562896867356299
25000,methylseq_25000.dot,8885797810,internal,0.7276307326969669,MeDiH-MM,25000,0.7276307326969669
2000,methylseq_2000.dot,17027257018,internal,1.0279373721923077,MeDiH-MM,2000,1.0279373721923077
4000,methylseq_4000.dot,6761426956,internal,0.624741807583731,MeDiH-MM,4000,0.624741807583731
20000,methylseq_20000.dot,6273818718,internal,0.8022732739816938,MeDiH-MM,20000,0.8022732739816938
20000,methylseq_20000.dot,22500260922,internal,1.5491642862127575,MeDiH-MM,20000,1.5491642862127575
4000,methylseq_4000.dot,22500260922,internal,1.443952371764462,MeDiH-MM,4000,1.443952371764462
200,chipseq_200.dot,41366257414,internal,0.8628403634725504,MeDiH-MM,200,0.8628403634725504
200,eager_200.dot,19132169434,internal,1.4538122639663154,MeDiH-MM,200,1.4538122639663154
25000,methylseq_25000.dot,17027257018,internal,1.591197199353157,MeDiH-MM,25000,1.591197199353157
4000,methylseq_4000.dot,11897958606,internal,0.6527611480716181,MeDiH-MM,4000,0.6527611480716181
200,eager_200.dot,14754556884,internal,1.3747429049982827,MeDiH-MM,200,1.3747429049982827
15000,methylseq_15000.dot,22500260922,internal,1.5609976259873937,MeDiH-MM,15000,1.5609976259873937
2000,methylseq_2000.dot,6273818718,internal,0.5997727654679464,MeDiH-MM,2000,0.5997727654679464
1000,methylseq_1000.dot,17027257018,internal,0.990406403042582,MeDiH-MM,1000,0.990406403042582
200,methylseq_200.dot,6273818718,internal,0.7026525746984654,MeDiH-MM,200,0.7026525746984654
100,methylseq,8885797810,internal,0.9989538308156075,MeDiH-MM,100,0.9989538308156075
10000,methylseq_10000.dot,22500260922,internal,1.497123803374753,MeDiH-MM,10000,1.497123803374753
1000,methylseq_1000.dot,6761426956,internal,0.4662386276627567,MeDiH-MM,1000,0.4662386276627567
25000,methylseq_25000.dot,22500260922,internal,1.590275656892707,MeDiH-MM,25000,1.590275656892707
1000,methylseq_1000.dot,8885797810,internal,0.5608746270808852,MeDiH-MM,1000,0.5608746270808852
10000,methylseq_10000.dot,17027257018,internal,1.4928989473354672,MeDiH-MM,10000,1.4928989473354672
1000,methylseq_1000.dot,6273818718,dyn_vs_base,0.7769628348391554,MeDiH-MM,1000,0.7769628348391554
200,methylseq_200.dot,17027257018,dyn_vs_base,0.9669288921767291,MeDiH-MM,200,0.9669288921767291
100,methylseq,11897958606,dyn_vs_base,0.9998434840775275,MeDiH-MM,100,0.9998434840775275
100,methylseq,6273818718,dyn_vs_base,0.999789170441643,MeDiH-MM,100,0.999789170441643
100,methylseq,22500260922,dyn_vs_base,0.9998383127158997,MeDiH-MM,100,0.9998383127158997
100,methylseq,110641579976,dyn_vs_base,0.9999998207445083,MeDiH-MM,100,0.9999998207445083
200,methylseq_200.dot,8885797810,dyn_vs_base,0.9996715332872045,MeDiH-MM,200,0.9996715332872045
100,chipseq,32978181418,dyn_vs_base,0.9108682729229665,MeDiH-MM,100,0.9108682729229665
200,methylseq_200.dot,6761426956,dyn_vs_base,0.9994658938124199,MeDiH-MM,200,0.9994658938124199
100,methylseq,17027257018,dyn_vs_base,0.9997513343652717,MeDiH-MM,100,0.9997513343652717
200,methylseq_200.dot,11897958606,dyn_vs_base,0.999633309229761,MeDiH-MM,200,0.999633309229761
200,methylseq_200.dot,22500260922,dyn_vs_base,0.966844327640908,MeDiH-MM,200,0.966844327640908
100,methylseq,6761426956,dyn_vs_base,0.999759683618684,MeDiH-MM,100,0.999759683618684
100,chipseq,41366257414,dyn_vs_base,0.9539758027530669,MeDiH-MM,100,0.9539758027530669
100,chipseq,5058052541,dyn_vs_base,0.9519773795654484,MeDiH-MM,100,0.9519773795654484
100,chipseq,4807293396,dyn_vs_base,0.9315910663916265,MeDiH-MM,100,0.9315910663916265
200,methylseq_200.dot,6273818718,dyn_vs_base,0.9996211866873198,MeDiH-MM,200,0.9996211866873198
100,methylseq,8885797810,dyn_vs_base,0.9998372335007594,MeDiH-MM,100,0.9998372335007594
1000,methylseq_1000.dot,6761426956,dyn_vs_base,1.2590245049329014,MeDiH-MM,1000,1.2590245049329014
1000,methylseq_1000.dot,6273818718,stat_vs_base,0.42357913855274576,MeDiH-MM,1000,0.42357913855274576
200,methylseq_200.dot,17027257018,stat_vs_base,0.6636601434714958,MeDiH-MM,200,0.6636601434714958
100,methylseq,11897958606,stat_vs_base,0.9984887842241857,MeDiH-MM,100,0.9984887842241857
100,methylseq,6273818718,stat_vs_base,0.9977674662463312,MeDiH-MM,100,0.9977674662463312
100,methylseq,22500260922,stat_vs_base,0.9989369300372031,MeDiH-MM,100,0.9989369300372031
100,methylseq,110641579976,stat_vs_base,0.9998931618670445,MeDiH-MM,100,0.9998931618670445
200,methylseq_200.dot,8885797810,stat_vs_base,0.703637190317008,MeDiH-MM,200,0.703637190317008
100,chipseq,32978181418,stat_vs_base,0.8990970629335717,MeDiH-MM,100,0.8990970629335717
200,methylseq_200.dot,6761426956,stat_vs_base,0.7033261733787934,MeDiH-MM,200,0.7033261733787934
100,methylseq,17027257018,stat_vs_base,0.998244581187606,MeDiH-MM,100,0.998244581187606
200,methylseq_200.dot,11897958606,stat_vs_base,0.7036094314359659,MeDiH-MM,200,0.7036094314359659
200,methylseq_200.dot,22500260922,stat_vs_base,0.66465408448625,MeDiH-MM,200,0.66465408448625
100,methylseq,6761426956,stat_vs_base,0.9976498410897378,MeDiH-MM,100,0.9976498410897378
100,chipseq,41366257414,stat_vs_base,0.8467315430695473,MeDiH-MM,100,0.8467315430695473
100,chipseq,5058052541,stat_vs_base,0.8086857876543525,MeDiH-MM,100,0.8086857876543525
100,chipseq,4807293396,stat_vs_base,0.8071652377769386,MeDiH-MM,100,0.8071652377769386
200,methylseq_200.dot,6273818718,stat_vs_base,0.7023864005489807,MeDiH-MM,200,0.7023864005489807
100,methylseq,8885797810,stat_vs_base,0.9987912345976627,MeDiH-MM,100,0.9987912345976627
1000,methylseq_1000.dot,6761426956,stat_vs_base,0.5870058573736977,MeDiH-MM,1000,0.5870058573736977
200,eager_200.dot,8330435694,stat_vs_base,0.6529451875245202,MeDiH-MM,200,0.6529451875245202
